level_name,num_triplets,complete_accuracy,partial_accuracy,roc_auc,mean_same_scene_similarity,mean_diff_scene_similarity_a_n,mean_diff_scene_similarity_p_n,mean_delta_ap_an,mean_delta_ap_pn,avg_same_diff_delta,t_statistic_ap_an,p_value_ap_an,cohens_d_ap_an,t_statistic_ap_pn,p_value_ap_pn,cohens_d_ap_pn,model,layer_depth
features,300,0.7266666666666667,0.8233333333333334,0.7895,0.988328509926796,0.9787033355236053,0.9785811253388723,0.009625174403190613,0.009747384587923685,0.00968627949555715,11.78317845571158,1.3988815681660355e-26,0.681438799871671,12.717275622090618,6.548791074499998e-30,0.7354590330693453,ViTamin-L2-384_datacomp1b,0
features,300,0.64,0.7533333333333333,0.7405333333333334,0.9824320435523987,0.9732900993029276,0.9733333132664362,0.009141944249471028,0.009098730285962423,0.009120337267716726,9.815451608371664,6.778853880667021e-20,0.5676422193867302,10.777498791712691,4.2381661656849887e-23,0.6232788437799877,ViTamin-L2_datacomp1b,0
features,300,0.6633333333333333,0.78,0.7477055555555556,0.9843639256556829,0.9753186889489491,0.9751880957682928,0.009045236706733704,0.009175829887390137,0.00911053329706192,10.74138164460174,5.621692904830249e-23,0.621190135236046,11.36267823637793,4.130511858493069e-25,0.6571206444165945,ViTamin-L_datacomp1b,0
features,300,0.58,0.7066666666666667,0.6930111111111111,0.9571087910731634,0.9433872572580974,0.9423140213886897,0.01372153381506602,0.014794769684473673,0.014258151749769847,9.389282556667668,1.5985846607155381e-18,0.5429962281483316,9.89752274913101,3.658794634235244e-20,0.572388517315312,ViTamin-S-LTT_datacomp1b,0
features,300,0.6366666666666667,0.7366666666666667,0.7447111111111111,0.9743662432829538,0.9611749029159546,0.9605762932697932,0.013191340366999309,0.013789950013160706,0.013490645190080006,11.579910293682982,7.226493382052791e-26,0.669683499966868,12.488613366451727,4.350707915492305e-29,0.7222351551545847,ViTamin-S_datacomp1b,0
features,300,0.6633333333333333,0.7733333333333333,0.7498388888888888,0.9761044959227244,0.961533263127009,0.9617253265778224,0.014571232795715332,0.014379169344902038,0.014475201070308686,10.869669387745212,2.0572597647387648e-23,0.6286092085350926,10.633098470246075,1.3081061271665434e-22,0.6149279592113179,ViTamin-XL-256_datacomp1b,0
features,300,0.7,0.7966666666666666,0.7603944444444445,0.9777148787180583,0.9624704710642497,0.9624548798799515,0.015244407653808594,0.015259998838106791,0.015252203245957692,10.956099791603348,1.0421663985453943e-23,0.6336076079261617,10.991944847048428,7.855319979165641e-24,0.6356805809917146,ViTamin-XL-336_datacomp1b,0
features,300,0.66,0.7666666666666667,0.7528916666666666,0.9717085208495458,0.9565762786070505,0.9568374570210775,0.015132242242495219,0.014871063828468322,0.01500165303548177,11.384104071884435,3.479948541910936e-25,0.6583597343185132,10.807273143659495,3.3566334914419195e-23,0.6250007406548499,ViTamin-XL-384_datacomp1b,0
features,300,0.5966666666666667,0.71,0.7057555555555555,0.9611556140581766,0.946327599088351,0.9469246498743693,0.014828014969825744,0.014230964183807373,0.01452948957681656,9.919186604701672,3.1078640464873214e-20,0.5736413704266412,9.784775916602841,8.530543071866923e-20,0.5658681996014366,xlm-roberta-base-ViT-B-32_laion5b_s13b_b90k,0
features,300,0.72,0.82,0.7762388888888888,0.9758221892515818,0.9587469339370728,0.958403497338295,0.017075255314509073,0.017418691913286845,0.01724697361389796,13.082551422229892,3.1170432732495124e-31,0.7565834802168439,13.485015197188664,1.0605850178786435e-32,0.7798585611410548,xlm-roberta-large-ViT-H-14_frozen_laion5b_s13b_b90k,0
features,300,0.5933333333333334,0.6933333333333334,0.6768,0.9675223386287689,0.9590069913864135,0.9585801873604457,0.008515347242355347,0.008942151268323262,0.008728749255339304,8.905976527234667,5.262591934071207e-17,0.515045917828839,9.477121331519932,8.382680046487378e-19,0.5480760744481457,RN50_openai,0
